T,TM,Tm,H,PP,VV,V,VM,CO
19.6,24,16,71,0,4,13.5,22.2,0.92
19.6,24,16,71,0,4,13.5,22.2,0.97
19.6,25,15,70,0,4,10,16.5,17.4
19.6,25,15,70,0,4,10,16.5,1.7
18.8,25,15,73,0,3.9,7.2,13,22.1
18.8,25,15,73,0,3.9,7.2,13,45.41
18.9,29,11,60,0,3.7,2.6,11.1,112.16
18.9,29,11,60,0,3.7,2.6,11.1,80.87
19.6,29,12,55,0,3.5,4.3,9.4,29.16
19.6,29,12,55,0,3.5,4.3,9.4,81.26
18.9,29,12,51,0,4,4.3,11.1,132.07
18.9,29,12,51,0,4,4.3,11.1,52.04
19.2,30,11,56,0,3.5,3.1,9.4,48.82
19.2,30,11,56,0,3.5,3.1,9.4,19.2
19.4,28,12,70,0,2.9,5.4,13,0.6
19.4,28,12,70,0,2.9,5.4,13,1.63
18.9,27,12,52,0,3.9,8.9,18.3,11.44
18.9,27,12,52,0,3.9,8.9,18.3,6.1
19.3,27.2,11,48,0,4,10,14.8,2.51
19.3,27.2,11,48,0,4,10,14.8,7.92
21.8,28.4,15,50,0,4.2,5.7,13,9.52
21.8,28.4,15,50,0,4.2,5.7,13,9.05
21.7,26.5,15,68,0,2.6,4.1,16.5,22.53
21.7,26.5,15,68,0,2.6,4.1,16.5,2.03
18.7,25.1,13,63,0,3.9,5.2,14.8,1.42
18.7,25.1,13,63,0,3.9,5.2,14.8,2.27
17.4,25,12,61,0,3.7,6.5,16.5,2.19
17.4,25,12,61,0,3.7,6.5,16.5,5.72
16.5,24.3,11,57,0,3.9,8,16.5,6.93
16.5,24.3,11,57,0,3.9,8,16.5,13.85
19.2,29.4,11,47,0,4.3,5.9,13,24.39
19.2,29.4,11,47,0,4.3,5.9,13,43.48
23.8,32,14,41,0,4.3,4.4,11.1,54.56
23.8,32,14,41,0,4.3,4.4,11.1,30.61
22.1,31,14,57,0,3.9,3.3,14.8,2.37
22.1,31,14,57,0,3.9,3.3,14.8,2.6
22.2,30,15,57,0,4,5.6,13,1.16
22.2,30,15,57,0,4,5.6,13,7.29
22.4,32,15,44,0,4.3,4.3,11.1,8.92
22.4,32,15,44,0,4.3,4.3,11.1,4.32
21.1,30.3,13,39,0,4.5,5.7,11.1,1.41
21.1,30.3,13,39,0,4.5,5.7,11.1,6.34
22.4,30,14,46,0,4.5,11.1,14.8,14.19
22.4,30,14,46,0,4.5,11.1,14.8,18.18
23.2,33,13,39,0,4.3,4.1,13,37.49
23.2,33,13,39,0,4.3,4.1,13,15.55
24.8,34,14,43,0,4,4.6,14.8,19.85
24.8,34,14,43,0,4,4.6,14.8,15.96
25.8,35,17,55,0,4.2,5,11.1,16.24
25.8,35,17,55,0,4.2,5,11.1,11.25
25.3,34,18,56,0,4,3.9,14.8,33.84
25.3,34,18,56,0,4,3.9,14.8,61.95
26,36,18,49,0,4,3.9,9.4,45.45
26,36,18,49,0,4,3.9,9.4,77.7
26.2,37,17,44,0,4.2,3,9.4,12.56
